ELEVATORIAS,PLANTA,TIPO,ENDEREÇO,BAIRRO,MUNICIPIO,CEP
VILA RORAIMA,PL-RJB-EAT0723,EAT,Rua sagres 97,VALVERDE,NOVA IGUAÇU,
VILA RORAIMA 2,,CONTAINER,,,NOVA IGUAÇU,
DA SERRA,PL-RJB-EAT0848,EAT,"R. Soares Couto, 361 - Santa Terezinha, Mesquita - RJ, 26554-220",SANTA TEREZINHA,MESQUITA,26554-220
SANTA RITA,PL-RJB-EAT0744,EAT,"Rua Coronel Alberto de Melo, 809 – Vila de Cava – Nova Iguaçu - RJ, 26052-050",Vila de Cava,NOVA IGUAÇU,26052-050
BOOSTER BNH,PL-RJB-EAT0775,CONTAINER,"Av. Pres. Kennedy, 661-645 - BNH",BNH,MESQUITA,26574-600
BIQUINHA,PL-RJB-EAT0724,EAT,"R do Comércio, 831-801",TINGUÁ,NOVA IGUAÇU,26062-000
BAIXO PEDREIRA,,EAT,,,NOVA IGUAÇU,
BENTO RUBIÃO,,EAT,,,NOVA IGUAÇU,
AMBAÍ,,EAT,,,NOVA IGUAÇU,
JAQUEIRA,,CONTAINER,,,QUEIMADOS,
MORRO DA PAZ,,CONTAINER,,,QUEIMADOS,
COLOMBO,,CONTAINER,,,QUEIMADOS,
DONA AFRA,,CONTAINER,,,NOVA IGUAÇU,
CARLOS MONSANTE,,CONTAINER,,,NOVA IGUAÇU,
BEIRA RIO,,CONTAINER,,,JAPERI,
ADIBE SAAD,,CONTAINER,,,QUEIMADOS,
SÃO SIMÃO,,CONTAINER,,,QUEIMADOS,
NÉLIO CHAMBARELLI,,EAT,,,QUEIMADOS,
MESSIAS,,EAT,,,JAPERI,
CHACRINHA,,CONTAINER,,,JAPERI,
NOVA CIDADE,,CONTAINER,,,NILÓPOLIS,
BOA ESPERANÇA,,CONTAINER,,,NOVA IGUAÇU,
TINGUAZINHO,,CONTAINER,,,NOVA IGUAÇU,
BELA VISTA,,EAT,,,NOVA IGUAÇU,
COMENDADOR SOARES,,CONTAINER,,,NOVA IGUAÇU,
MANOEL DIAS,,EAT,,,NOVA IGUAÇU,
CAMBURI,,EAT,,,QUEIMADOS,
MORRO DO TINGUAZINHO,,EAT,,,NOVA IGUAÇU,
MORRO AGUDO,,CONTAINER,,,NOVA IGUAÇU,
AEROCLUBE,,CONTAINER,,,NOVA IGUAÇU,
BNH 2,,CONTAINER,,,MESQUITA,
Morro do Cruzeiro,,CONTAINER,,,NOVA IGUAÇU,
Praça do Cabuçu,,CONTAINER,,,,
Paulo Miranda,,CONTAINER,,,,
DANON 2,,,,,,
