Un;Município;Tag Planta;Descrição Planta;Tag Comp;Descrição Comp;Atributo;Valor
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0336;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0336 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 3,5;RJB-27124;Valvula Redutora de Pressão;TIPO;Valvula Redutora de Pressão
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27589;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27589;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27589;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27589;Valvula Redutora de Pressão;FABRICANTE;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27589;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27589;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27589;Valvula Redutora de Pressão;TIPO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27597;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27597;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27597;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27597;Valvula Redutora de Pressão;FABRICANTE;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27597;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27597;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0337;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0337 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 1,5;RJB-27597;Valvula Redutora de Pressão;TIPO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-30895;Valvula Redutora de Pressão;ACIONAMENTO;
